Company , Domain , SecurityGateway , MailGateway , MX
Raytheon , raytheon ,  , own-domain , inbound.vetted.raytheon.com
Plains GP Holdings , plainsallamerican ,  ,  , p.webcom.ctmail.com
US Foods Holding , usfoods ,  , Office 365 , usfoods-com.mail.protection.outlook.com
AbbVie , abbvie , MessageLabs , unknown , cluster1.us.messagelabs.com
Centene , centene ,  , own-domain , esg.centene.com
Community Health Systems , chs ,  , own-domain , mail2.chs.net
Alcoa , alcoa ,  , own-domain , adc-dmzmx404.alcoa.com
International Paper , ipaper , Cisco , unknown , mx2.ipaper.iphmx.com
Emerson Electric , emerson , Cisco , unknown , mx1.emerson.iphmx.com
Union Pacific , up ,  , own-domain , meg-01.omdx.uprr.com
Amgen , amgen , ProofPoint , unknown , mxa-0018ee01.gslb.pphosted.com
U.S. Bancorp , usbank ,  , own-domain , mail1.usbank.com
Staples , staples ,  , Office 365 , staples-com.mail.protection.outlook.com
Danaher , danaher , ProofPoint , unknown , mxa-001d2f01.gslb.pphosted.com
Whirlpool , whirlpool ,  , Google , ASPMX.L.GOOGLE.com
Aflac , aflac , ProofPoint , unknown , mxb-001f5701.gslb.pphosted.com
AutoNation , autonation ,  , Office 365 , autonation-com.mail.protection.outlook.com
Progressive , progressive ,  , own-domain , acesap01.progressive.com
Abbott Laboratories , abbott ,  , Office 365 , abbott-com.mail.protection.outlook.com
Dollar General , dollargeneral ,  , own-domain , mxgw1.dollargeneral.com
Tenet Healthcare , tenethealth , ProofPoint , unknown , mx0b-00259001.pphosted.com
Eli Lilly , lilly ,  , own-domain , maillldcprde2.xh1.lilly.com
Southwest Airlines , southwest ,  ,  , outgoing.wnco.com
Penske Automotive Group , penskeautomotive , ProofPoint , unknown , mxb-00005602.gslb.pphosted.com
Penske Automotive Group , penske , ProofPoint , unknown , mxa-001ae501.gslb.pphosted.com
ManpowerGroup , manpower ,  , Office 365 , manpowergroupapps.mail.protection.outlook.com
Kohl’s , kohlscorporation , Cisco , unknown , esa1.kohlsinbound.iphmx.com
Kohl’s , kohls , Cisco , unknown , mx2.kohlsinbound.iphmx.com
Starbucks , starbucks , Cisco , unknown , mx1.starbucks.iphmx.com
Paccar , paccar ,  , Office 365 , paccar-com.mail.protection.outlook.com
Cummins , cummins , MessageLabs , unknown , cluster5.us.messagelabs.com
Altria Group , altria ,  , Office 365 , altria-com.mail.protection.outlook.com
Xerox , xerox , Cisco , unknown , mx1.xerox.iphmx.com
Kimberly-Clark , kimberly-clark ,  , Office 365 , kimberlyclark-com02b.mail.protection.outlook.com
