Company , Domain , SecurityGateway , Mail Domain , MX
BAE Systems , bae ,  , own-domain , bae.com
Mizuho Financial Group , mizuho , MessageLabs , unknown , cluster6.us.messagelabs.com
Tata Motors , tata ,  , Office365 , tata-com.mail.protection.outlook.com
Sumitomo , sumitomo ,  , own-domain , mgex2.sumitomo.com
Migros Group , migros ,  ,  , migze122.migros.ch
Royal Bank of Canada , rbc ,  , own-domain , vmx.rbc.com
Credit Agricole , credit-agricole ,  ,  , mercure.credit-agricole.fr
Mitsubishi Corp. , mitsubishi ,  , own-domain , mitsubishi.com
Mitsui , mitsui , MessageLabs , unknown , cluster4.us.messagelabs.com
ING Group , ing ,  , own-domain , mail101.ing.net
Xinxing Cathay International , xxcig ,  ,  , mxbiz1.qq.com
Bohai Steel Group , bohai ,  ,  , 
SoftBank Group , softbank ,  , Google , aspmx.l.google.com
Coop Group , coop ,  ,  , mail21.coop.ch
Compal Electronics , compal ,  , own-domain , exmail3.compal.com
Guangzhou Automobile Industry Group , gagccom ,  ,  , mail.gagc.com.cn
Old Mutual , oldmutualco ,  ,  , smtp.sifutures.com
Kailuan Group , kailuan ,  ,  , 
UBS Group , ubs ,  , own-domain , mx14.ubs.open.ch
SABIC , sabic , MessageLabs , unknown , cluster4.eu.messagelabs.com
RWE , rwe ,  , Office365 , rwe-com.mail.protection.outlook.com
Marubeni , marubeni , MessageLabs , unknown , cluster5.us.messagelabs.com
JFE Holdings , jfe ,  , own-domain , mail.jfe.com
Centrica , centrica , MessageLabs , unknown , cluster3.eu.messagelabs.com
Suzuki Motor , suzuki ,  , own-domain , mail.suzuki.com
Tokio Marine Holdings , tokiomarine , MessageLabs , unknown , cluster1.us.messagelabs.com
Sinochem , sinochem ,  , own-domain , mailc.sinochem.com
Aviva , aviva , MessageLabs , unknown , cluster8.eu.messagelabs.com
Dai-ichi Life Insurance , dai-ichi ,  ,  , mail40.heteml.jp
Petronas , petronas ,  ,  , mx1.hc77-30.r1.ces.cisco.com
Industrial Bank , cibcom ,  ,  , smtp.cib.com.cn
LG Display , lg ,  , own-domain , spam.lg.com
Suncor Energy , suncor , MessageLabs , unknown , cluster6.us.messagelabs.com
Kia Motors , kia ,  , own-domain , mail.kia.com
Rabobank , rabobank ,  , own-domain , mailrelay3.rabobank.com
Perusahaan Listrik Negara , plnco ,  ,  , mx0.pln.co.id
Swiss Re , swissre , MessageLabs , unknown , cluster8.eu.messagelabs.com
Itochu , itochu , Mimecast , unknown , us-smtp-inbound-1.mimecast.com
Credit Suisse Group , credit-suisse ,  , own-domain , mail.credit-suisse.com
Commonwealth Bank , commonwealth ,  ,  , smtp1w.cfnmail.com
Mazda Motor , mazda ,  , own-domain , mail1.mazdausa.com
Taiwan Semiconductor , tsmc ,  , own-domain , mg.tsmc.com
Greenergy Fuels Holdings , greenergy , Mimecast , unknown , eu-smtp-inbound-1.mimecast.com
Meiji Yasuda Life Insurance , meijiyasudaco ,  , Office365 , meijiyasuda-co-jp.mail.protection.outlook.com
Carrefour , carrefour , ProofPoint , unknown , mxb-00150901.gslb.pphosted.com
Toyota Motor , toyota , ProofPoint , unknown , mxa-001f1301.gslb.pphosted.com
Accenture , accenture , ProofPoint , unknown , mx0b-001dcc01.pphosted.com
POSCO , posco ,  , own-domain , antispam.posco.net
Mapfre Group , mapfre ,  , own-domain , estafeta3.mapfre.com
Westpac Banking , westpac ,  ,  , mx1.netsolmail.net
Sompo Japan Nipponkoa , sjnkco ,  , Google , aspmx.l.google.com
Bunge , bunge ,  , Google , aspmx.l.google.com
Hanwha , hanwha ,  , own-domain , spam1.hanwha.co.kr
Indian Oil , iocl ,  , own-domain , mail.iocl.com
Anheuser-Busch InBev , anheuser-busch , ProofPoint , unknown , mxa-000c8e03.gslb.pphosted.com
Vivendi , vivendi ,  , own-domain , mail.vivendi.net
Kansai Electric Power , kepcoco ,  ,  , smtp-dr.kanden.ne.jp
Oil & Natural Gas , ongcindia ,  ,  , 
Telstra , telstra ,  ,  , extmail.bigpond.com
Adecco Group , adecco ,  , Office365 , adecco-com.mail.protection.outlook.com
Novartis , novartis , ProofPoint , unknown , mx07-0019ad02.pphosted.com
Chubu Electric Power , chudenco ,  , Office365 , chuden-co-jp.mail.protection.outlook.com
Vattenfall , vattenfall ,  ,  , mx10.vattenfall.de
Delhaize Group , delhaize , ProofPoint , unknown , mxa-00259c01.gslb.pphosted.com
Wilmar International , wilmar , ProofPoint , unknown , mx0a-000e6603.pphosted.com
KDDI , kddi ,  , own-domain , post-gate.kddi.com
Iberdrola , iberdrola ,  , own-domain , sol1.iberdrola.com
DZ Bank , dzbank ,  ,  , mg2.dzbank.de
Lotte Shopping , lotte ,  , own-domain , maps.lotte.com
Pertamina , pertamina ,  , own-domain , mx6.pertamina.com
Jiangxi Copper , jxcc ,  , own-domain , jtmail.jxcc.com
Lloyds Banking Group , lloyds , ProofPoint , unknown , mxb-00164201.gslb.pphosted.com
JX Holdings , jxtg-groupco ,  , Office365 , jxtggroup-co-jp01b.mail.protection.outlook.com
