Company , Domain , SecurityGateway , Mail Domain , MX
Bristol-Myers Squibb , bms.com ,  , Office365 , bms-com.mail.protection.outlook.com
Goodyear Tire & Rubber , goodyear.com ,  , Office365 , goodyear-com.mail.protection.outlook.com
Nucor , nucor.com , ProofPoint , unknown , mxa-0022e501.gslb.pphosted.com
PNC Financial Services Group , pnc.com , MessageLabs , unknown , cluster5.us.messagelabs.com
Health Net , healthnet.com ,  , own-domain , mailgate03.healthnet.com
Micron Technology , micron.com ,  , own-domain , mailhost3.micron.com
Colgate-Palmolive , colgatepalmolive.com ,  , Zoho , mx.zoho.com
Freeport-McMoRan , fmi.com ,  , Office365 , fmi-com.mail.protection.outlook.com
ConAgra Foods , conagrafoods.com , Cisco , unknown , mx1.conagrafoods.iphmx.com
Gap , gapinc.com ,  , Office365 , gapinc-com.mail.protection.outlook.com
Baker Hughes , bhi-net.com ,  , own-domain , msghouasg01.bhi-net.com
Bank of New York Mellon Corp. , bnymellon.com , MessageLabs , unknown , cluster9bny.us.messagelabs.com
Dollar Tree , dollartree.com , ProofPoint , unknown , mxb-00183e01.gslb.pphosted.com
Whole Foods Market , wholefoods.com ,  , own-domain , smtp1.wholefoods.com
PPG Industries , ppg.com , ProofPoint , unknown , mxb-00189b02.gslb.pphosted.com
Genuine Parts , genpt.com , MessageLabs , unknown , cluster5.us.messagelabs.com
Icahn Enterprises , ielp.com , Mimecast , unknown , us-smtp-inbound-1.mimecast.com
Performance Food Group , pfgc.com ,  , Office365 , pfgc-com.mail.protection.outlook.com
Omnicom Group , omnicomgroup.com ,  ,  , pp-inbound-2.cdscore.com
DISH Network , dish.com ,  , own-domain , mailin.dish.com
FirstEnergy , firstenergycorp.com ,  , own-domain , aesa04.firstenergycorp.com
Monsanto , monsanto.com , Forcepoint , unknown , cust42593-2-in.mailcontrol.com
AES , aes.com , MessageLabs , unknown , cluster1.us.messagelabs.com
CarMax , carmax.com , ProofPoint , unknown , mxa-001ffb01.gslb.pphosted.com
National Oilwell Varco , nov.com , ProofPoint , unknown , mxa-001b7901.gslb.pphosted.com
NRG Energy , nrgenergy.com ,  , Office365 , nrg-com.mail.protection.outlook.com
Western Digital , wdc.com , Cisco , unknown , mx2.hgst.iphmx.com
Marriott International , marriott.com ,  , own-domain , mail.marriott.com
Office Depot , officedepot.com ,  , Office365 , officedepot-com.mail.protection.outlook.com
Nordstrom , nordstrom.com , Cisco , unknown , mx2.nordstrom.iphmx.com
Kinder Morgan , kindermorgan.com , Cisco , unknown , mx1.kindermorgan.iphmx.com
Aramark , aramark.com , MessageLabs , unknown , cluster1.us.messagelabs.com
DaVita HealthCare Partners , davita.com , Cisco , unknown , mx2.davita.iphmx.com
Molina Healthcare , molinahealthcare.com ,  , own-domain , ironport1.molinahealthcare.com
WellCare Health Plans , wellcare.com ,  , own-domain , mailfilter2.wellcare.com
CBS , cbs.com , ProofPoint , unknown , mxb-00262c01.gslb.pphosted.com
Visa , visa.com ,  , own-domain , portal1i.visa.com
Lincoln National , lfg.com ,  , own-domain , nc2pamta03.lfg.com
Ecolab , ecolab.com , ProofPoint , unknown , mxb-00073f02.gslb.pphosted.com
Kellogg , kellogg.com , ProofPoint , unknown , mxa-0029fa01.gslb.pphosted.com
C.H. Robinson Worldwide , chrobinson.com ,  , own-domain , mailgw6.chrobinson.com
Textron , textron.com ,  , Office365 , textron-com.mail.protection.outlook.com
Loews , loews.com , ProofPoint , unknown , mxa-001d4001.gslb.pphosted.com
Illinois Tool Works , itw.com ,  , Office365 , itw-com.mail.protection.outlook.com
Synnex , synnex.com ,  , own-domain , smtp4.synnex.com
Viacom , viacom.com ,  , own-domain , mail.viacom.com
HollyFrontier , hollyfrontier.com ,  , own-domain , mx1.hollyfrontier.com
Land O Lakes , landolakes.com ,  , Office365 , landolakes-com.mail.protection.outlook.com
Devon Energy , dvn.com , ProofPoint , unknown , mxa-00116402.gslb.pphosted.com
PBF Energy , pbfenergy.com , MessageLabs , unknown , cluster5.us.messagelabs.com
Yum Brands , yum.com , Trend Micro , unknown , in.hes.trendmicro.com
Texas Instruments , ti.com , MessageLabs , unknown , cluster5.us.messagelabs.com
CDW , cdw.com , ProofPoint , unknown , mxb-00220401.gslb.pphosted.com
Waste Management , wm.com ,  , own-domain , mail2.wm.com
Marsh & McLennan , marsh.com ,  , own-domain , mx09.marsh.com
Chesapeake Energy , chk.com , ProofPoint , unknown , mxb-0017eb01.gslb.pphosted.com
Parker-Hannifin , parker.com , ProofPoint , unknown , mxb-002a1601.gslb.pphosted.com
Occidental Petroleum , oxy.com ,  , own-domain , dal-mx-03.oxy.com
Guardian Life Ins. Co. of America , guardianlife.com , ProofPoint , unknown , mx0a-00220101.pphosted.com
Farmers Insurance Exchange , farmers.com , ProofPoint , unknown , mxa-0028ab01.gslb.pphosted.com
J.C. Penney , jcpenney.com ,  , Office365 , jcpenney-com.mail.protection.outlook.com
Consolidated Edison , coned.com ,  , own-domain , xff-esg1.coned.com
Cognizant Technology Solutions , cognizant.com ,  , Office365 , cognizant-com.mail.protection.outlook.com
VF , vfc.com , ProofPoint , unknown , mxb-00127801.gslb.pphosted.com
Ameriprise Financial , ampf.com ,  , own-domain , ipgw6.ampf.com
Computer Sciences , csc.com , MessageLabs , unknown , cluster4.us.messagelabs.com
L Brands , lb.com , ProofPoint , unknown , mxa-00204f01.gslb.pphosted.com
Jacobs Engineering Group , jacobs.com , ProofPoint , unknown , mxb-0025cf01.gslb.pphosted.com
Principal Financial , principal.com ,  , own-domain , mx5.principal.com
Ross Stores , rossstores.com ,  , own-domain , rossstores.com
Bed Bath & Beyond , bedbathandbeyond.com ,  ,  , mail-router.e-dialog.com
CSX , csx.com ,  , own-domain , mail8.csx.com
Toys –R” Us , toysrus.com , ProofPoint , unknown , mxb-00218101.gslb.pphosted.com
Las Vegas Sands , sands.com , MessageLabs , unknown , cluster5.us.messagelabs.com
Leucadia National , leucadia.com , ProofPoint , unknown , mx0a-001c3e01.pphosted.com
Dominion Resources , dom.com ,  , own-domain , innm02.dom.com
United States Steel , uss.com , ProofPoint , unknown , mxb-00264f01.gslb.pphosted.com
L-3 Communications , l-3com.com ,  , own-domain , smtp7in.l-3com.com
Edison International , sce.com ,  , own-domain , azxapmta01.sce.com
Entergy , entergy.com ,  , own-domain , symmail4.roc.entergy.com
ADP , adp.com ,  , own-domain , mail5.adp.com
First Data , firstdata.com ,  , own-domain , x3ppir013.firstdata.com
BlackRock , blackrock.com , ProofPoint , unknown , mxa-00162b01.gslb.pphosted.com
WestRock , westrock.com ,  , Office365 , westrock-com.mail.protection.outlook.com
Voya Financial , voya.com ,  , Office365 , voya-com.mail.protection.outlook.com
Sherwin-Williams , sherwin.com ,  , own-domain , emhost55.sherwin.com
Hilton Worldwide Holdings , hilton.com , Cisco , unknown , mx1.hilton.iphmx.com
R.R. Donnelley & Sons , rrdonnelley.com ,  , Google , aspmx.l.google.com
Stanley Black & Decker , stanleyblackanddecker.com , ProofPoint , unknown , mxb-00254701.gslb.pphosted.com
Stanley Black & Decker , stanley.com , ProofPoint , unknown , mxb-00254701.gslb.pphosted.com
Xcel Energy , xcelenergy.com ,  , own-domain , esa.wip.xcelenergy.com
Murphy USA , murphyusa.com ,  , Office365 , murphyusa-com.mail.protection.outlook.com
CBRE Group , cbre.com , ProofPoint , unknown , mxb-001bfb01.gslb.pphosted.com
D.R. Horton , drhorton.com ,  , own-domain , prpt.drhorton.com
Estee Lauder , elcompanies.com , ProofPoint , unknown , mxa-001a2001.gslb.pphosted.com
Estee Lauder , esteelauder.com , ProofPoint , unknown , mxa-001a2001.gslb.pphosted.com
Praxair , praxair.com ,  , own-domain , mx6.praxair.com
Biogen , biogen.com , ProofPoint , unknown , mx0b-00209801.pphosted.com
State Street Corp. , statestreet.com , MessageLabs , unknown , cluster5.us.messagelabs.com
Unum Group , unum.com , MessageLabs , unknown , cluster9.us.messagelabs.com
Reynolds American , reynoldsamerican.com , MessageLabs , unknown , cluster5.us.messagelabs.com
Group 1 Automotive , group1auto.com ,  , own-domain , gpimx3.group1auto.com
Henry Schein , henryschein.com , ProofPoint , unknown , mxa-001d3a01.gslb.pphosted.com
Hertz Global Holdings , hertz.com , ProofPoint , unknown , mxb-00034201.gslb.pphosted.com
Norfolk Southern , nscorp.com ,  , own-domain , mail1.nscorp.com
Reinsurance Group of America , rgare.com , ProofPoint , unknown , mxb-00068801.gslb.pphosted.com
Public Service Enterprise Group , pseg.com ,  , own-domain , smtp4.pseg.com
BB&T Corp. , bbandt.com ,  , own-domain , mail1.bbandt.com
DTE Energy , dteenergy.com , MessageLabs , unknown , cluster8.us.messagelabs.com
Assurant , assurant.com ,  ,  , msp0lppp002.etdbw.com
Global Partners , globalp.com , Mimecast , unknown , us-smtp-inbound-1.mimecast.com
Huntsman , huntsman.com , ProofPoint , unknown , mxa-000afc01.gslb.pphosted.com
Becton Dickinson , bd.com , ProofPoint , unknown , mxa-0017d901.gslb.pphosted.com
Sempra Energy , sempra.com ,  , own-domain , pps2.sempra.com
AutoZone , autozone.com ,  , Office365 , autozone-com.mail.protection.outlook.com
Navistar International , navistar.com ,  , Office365 , navistar-com.mail.protection.outlook.com
Precision Castparts , precast.com ,  , own-domain , precast.pcc-structurals.com
Discover Financial Services , discoverfinancial.com , ProofPoint , unknown , mxb-001d7a03.gslb.pphosted.com
Liberty Interactive , libertyinteractive.com ,  , GoDaddy , smtp.secureserver.net
W.W. Grainger , grainger.com ,  , Office365 , grainger-com.mail.protection.outlook.com
Baxter International , baxter.com ,  , own-domain , mailco.baxter.com
Stryker , stryker.com ,  , Office365 , stryker-com.mail.protection.outlook.com
Air Products & Chemicals , airproducts.com ,  , Office365 , airproducts-com.mail.protection.outlook.com
Western Refining , wnr.com , ProofPoint , unknown , mxb-0018ff01.gslb.pphosted.com
Universal Health Services , uhsinc.com ,  , own-domain , smtp1.uhsinc.com
Owens & Minor , owens-minor.com ,  , Office365 , owensminor-com01c.mail.protection.outlook.com
Charter Communications , charter.com ,  , own-domain , mail.chartercom.com
Advance Auto Parts , advanceautoparts.com , ProofPoint , unknown , mxb-0013d101.gslb.pphosted.com
MasterCard , mastercard.com , ProofPoint , unknown , mxa-00078002.gslb.pphosted.com
Applied Materials , appliedmaterials.com ,  , own-domain , mx.appliedmaterials.com
Eastman Chemical , eastman.com ,  , Office365 , eastman-com.mail.protection.outlook.com
Sonic Automotive , sonicautomotive.com , Mimecast , unknown , us-smtp-inbound-1.mimecast.com
Ally Financial , ally.com ,  , own-domain , mx01.ally.com
CST Brands , cstbrands.com , MessageLabs , unknown , cluster9.us.messagelabs.com
eBay , ebay.com ,  , own-domain , gort.ebay.com
Lennar , lennar.com , ProofPoint , unknown , mxa-001afc01.gslb.pphosted.com
GameStop , gamestop.com ,  , own-domain , mail1.gamestop.com
Reliance Steel & Aluminum , rsac.com , Cisco , unknown , mx2.rsac.iphmx.com
Hormel Foods , hormel.com , ProofPoint , unknown , mxb-00103401.gslb.pphosted.com
Celgene , celgene.com , ProofPoint , unknown , mxb-00183501.gslb.pphosted.com
Genworth Financial , genworth.com , Mimecast , unknown , us-smtp-inbound-1.mimecast.com
PayPal Holdings , paypal.com ,  , own-domain , mx2.paypalcorp.com
Priceline Group , pricelinegroup.com ,  , Google , ASPMX.L.GOOGLE.com
MGM Resorts International , mgmresorts.com ,  , own-domain , inbound2.s4.mgmresorts.com
Autoliv , autoliv.com , Cisco , unknown , mx2.autoliv.c3s2.iphmx.com
Fidelity National Financial , fnf.com ,  , Office365 , fnf-com.mail.protection.outlook.com
Republic Services , republicservices.com , ProofPoint , unknown , mxb-0021b301.gslb.pphosted.com
Corning , corning.com , MessageLabs , unknown , cluster6.us.messagelabs.com
Peter Kiewit Sonsê , kiewit.com , Cisco , unknown , mx1.kiewit.iphmx.com
Univar , univar.com ,  , Office365 , univar-com.mail.protection.outlook.com
Mosaic , mosaicco.com ,  , Office365 , mosaicco-com.mail.protection.outlook.com
Core-Mark Holding , core-mark.com , Trend Micro , unknown , in-mig04.hes.trendmicro.com
Thrivent Financial for Lutherans , thrivent.com ,  , own-domain , irnprt001.thrivent.com
Cameron International , c-a-m.com ,  , Office365 , cam-com0k.mail.protection.outlook.com
HD Supply Holdings , hdsupply.com , ProofPoint , unknown , mxa-001cc001.gslb.pphosted.com
Crown Holdings , crowncork.com ,  , own-domain , mail.crowncork.com
EOG Resources , eogresources.com ,  , Office365 , eogresources-com.mail.protection.outlook.com
Veritiv , veritivcorp.com ,  , Office365 , veritivcorp-com.mail.protection.outlook.com
Anadarko Petroleum , anadarko.com ,  , own-domain , dnvipmsx002.anadarko.com
Laboratory Corp. of America , labcorp.com , Cisco , unknown , mx2.labcorp.iphmx.com
Pacific Life , pacificlife.com ,  , own-domain , mail3.pacificlife.com
News Corp. , newscorp.com ,  , Google , aspmx.l.google.com
Jarden , jarden.com ,  , Office365 , jarden-com.mail.protection.outlook.com
SunTrust Banks , suntrust.com ,  , own-domain , mx5.suntrust.com
Avis Budget Group , avis.com , MessageLabs , unknown , cluster8.us.messagelabs.com
Budget , budget.com , MessageLabs , unknown , cluster8.us.messagelabs.com
Broadcom , broadcom.com ,  , Google , aspmx.l.google.com
American Family Insurance Group , amfam.com ,  , own-domain , nmr.amfam.com
Level 3 Communications , level3.com , MessageLabs , unknown , cluster5.us.messagelabs.com
Tenneco , tenneco.com ,  , Office365 , tenneco-com.mail.protection.outlook.com
United Natural Foods , unfi.com ,  , Office365 , unfi-com.mail.protection.outlook.com
Dean Foods , deanfoods.com ,  , Office365 , deanfoods-com.mail.protection.outlook.com
Campbell Soup , campbellsoupcompany.com ,  , Office365 , campbellsoupcompany-com.mail.protection.outlook.com
Mohawk Industries , mohawkind.com , Mimecast , unknown , us-smtp-inbound-2.mimecast.com
BorgWarner , borgwarner.com ,  , Office365 , borgwarner-com.mail.protection.outlook.com
PVH , pvh.com , Cisco , unknown , mx2.pvh.iphmx.com
Ball , ball.com , ProofPoint , unknown , mxb-0014fe01.gslb.pphosted.com
OêReilly Automotive , oreillyauto.com , Trend Micro , unknown , oreillyauto.com.e0040.g0004.sg0089.im.emailsecurity.trendmicro.com
Eversource Energy , eversource.com , ProofPoint , unknown , mxb-0018e401.gslb.pphosted.com
Franklin Resources , franklinresources.com , MarkMonitor , unknown , bh.markmonitor.com
Masco , masco.com ,  , Office365 , masco-com.mail.protection.outlook.com
Lithia Motors , lithia.com , ProofPoint , unknown , mxb-0021da01.gslb.pphosted.com
