Company , Domain , SecurityGateway , Mail Domain , MX
KeyCorp , keybank.com ,  , own-domain , mail.keybank.com
Eaton , eaton.com ,  , own-domain , mail.eaton.com
Bank of New York Co. , bankofny.com , MessageLabs , unknown , cluster9bny.us.messagelabs.com
Safeco , safeco.com ,  ,  , mx3.lmig.com
Newell Rubbermaid , newellco.com , Mimecast , unknown , us-smtp-inbound-1.mimecast.com
KeySpan , keyspanenergy.com , Cisco , unknown , mx2.hc189626.iphmx.com
Northeast Utilities , nu.com , ProofPoint , unknown , mxa-0018e401.gslb.pphosted.com
Plains All American Pipeline , paalp.com ,  , own-domain , mail.paalp.com
ArvinMeritor , arvinmeritor.com , MessageLabs , unknown , cluster5.us.messagelabs.com
Avaya , avaya.com ,  , own-domain , co300216-co-ierwest.avaya.com
Centex , centex.com , ProofPoint , unknown , mxa-001af501.gslb.pphosted.com
Premcor , valero.com , MessageLabs , unknown , cluster9.us.messagelabs.com
Gannett , gannett.com , Mimecast , unknown , us-smtp-inbound-1.mimecast.com
United Auto Group , unitedauto.com , ProofPoint , unknown , mxa-00005602.gslb.pphosted.com
Science Applications Intl. , saic.com ,  , own-domain , EM-MXP01.saic.com
Gateway , gateway.com , MessageLabs , unknown , cluster2.us.messagelabs.com
Saks , saksincorporated.com ,  ,  , smtp1.saksinc.com
Avista , avistacorp.com ,  , Office365 , avistacorp-com.mail.protection.outlook.com
Unisys , unisys.com ,  , Office365 , unisys-com.mail.protection.outlook.com
Smithfield Foods , smithfieldfoods.com , MessageLabs , unknown , cluster1.us.messagelabs.com
Rohm & Haas , rohmhaas.com ,  , Office365 , rohmhaas-com.mail.protection.outlook.com
Conectiv , conectiv.com ,  ,  , esa-omf-101.exeloncorp.com
ServiceMaster , svm.com , Cisco , unknown , mx1.servicemaster.iphmx.com
Idacorp , idacorpinc.com ,  ,  , mail.idahopower.com
Caremark Rx , caremarkrx.com , ProofPoint , unknown , mxa-0022b201.gslb.pphosted.com
Allied Waste Industries , alliedwaste.com , ProofPoint , unknown , mxb-0021b301.gslb.pphosted.com
Medtronic , medtronic.com , ProofPoint , unknown , mxa-00204301.gslb.pphosted.com
Providian Financial , providian.com , MessageLabs , unknown , cluster14.us.messagelabs.com
Federal-Mogul , federalmogul.com ,  , Office365 , federalmogul-com.mail.protection.outlook.com
