297,Sonic Automotive,sonicautomotive.com
298,Ally Financial,ally.com
299,CST Brands,cstbrands.com
300,eBay,ebay.com
301,Lennar,lennar.com
302,GameStop,gamestop.com
303,Reliance Steel & Aluminum,rsac.com
304,Hormel Foods,hormel.com
305,Celgene,celgene.com
306,Genworth Financial,genworth.com
307,PayPal Holdings,paypal.com
308,Priceline Group,pricelinegroup.com
309,MGM Resorts International,mgmresorts.com
310,Autoliv,autoliv.com
311,Fidelity National Financial,fnf.com
312,Republic Services,republicservices.com
313,Corning,corning.com
314,Peter Kiewit Sons’,kiewit.com
315,Univar,univar.com
316,Mosaic,mosaicco.com
317,Core-Mark Holding,core-mark.com
318,Thrivent Financial for Lutherans,thrivent.com
319,Cameron International,c-a-m.com
320,HD Supply Holdings,hdsupply.com
321,Crown Holdings,crowncork.com
322,EOG Resources,eogresources.com
323,Veritiv,veritivcorp.com
324,Anadarko Petroleum,anadarko.com
325,Laboratory Corp. of America,labcorp.com
326,Pacific Life,pacificlife.com
327,News Corp.,newscorp.com
328,Jarden,jarden.com
329,SunTrust Banks,suntrust.com
330,Avis Budget Group,avis.com
330,Budget,budget.com
331,Broadcom,broadcom.com
332,American Family Insurance Group,amfam.com
333,Level 3 Communications,level3.com
334,Tenneco,tenneco.com
335,United Natural Foods,unfi.com
336,Dean Foods,deanfoods.com
337,Campbell Soup,campbellsoupcompany.com
338,Mohawk Industries,mohawkind.com
339,BorgWarner,borgwarner.com
340,PVH,pvh.com
341,Ball,ball.com
342,O’Reilly Automotive,oreillyauto.com
343,Eversource Energy,eversource.com
344,Franklin Resources,franklinresources.com
345,Masco,masco.com
346,Lithia Motors,lithia.com
347,KKR,kkr.com
348,Oneok,oneok.com
349,Newmont Mining,newmont.com
350,PPL,pplweb.com
351,SpartanNash,spartannash.com
352,Quanta Services,quantaservices.com
353,XPO Logistics,xpo.com
354,Ralph Lauren,ralphlauren.com
355,Interpublic Group,interpublic.com
356,Steel Dynamics,steeldynamics.com
357,WESCO International,wesco.com
358,Quest Diagnostics,questdiagnostics.com
359,Boston Scientific,bostonscientific.com
360,AGCO,agcocorp.com
361,Foot Locker,footlocker-inc.com
,Foot Locker,footlocker.com
362,Hershey,thehersheycompany.com
,Hershey,hersheys.com
363,CenterPoint Energy,centerpointenergy.com
364,Williams,williams.com
365,Dick’s Sporting Goods,dickssportinggoods.com
366,Live Nation Entertainment,livenation.com
367,Mutual of Omaha Insurance,mutualofomaha.com
368,W.R. Berkley,wrberkley.com
369,LKQ,lkqcorp.com
370,Avon Products,avon.com
371,Darden Restaurants,darden.com
372,Kindred Healthcare,kindredhealthcare.com
373,Weyerhaeuser,weyerhaeuser.com
374,Casey’s General Stores,caseys.com
375,Sealed Air,sealedair.com
376,Fifth Third Bancorp,53.com
377,Dover,dovercorp.com
378,Huntington Ingalls Industries,hii-co.com
379,Netflix,netflix.com
380,Dillard’s,dillards.com
381,EMCOR Group,emcorgroup.com
382,Jones Financial,edwardjones.com
383,AK Steel Holding,aksteel.com
384,UGI,ugicorp.com
,UGI,ugi.com
