Company , Domain , SecurityGateway , Mail Domain , MX
Sierra Pacific Resources , nvenergy.com ,  , own-domain , ssmtp.nvenergy.com
Maytag , maytag.com ,  , Google , ASPMX.L.GOOGLE.com
Pinnacle West Capital , pinnaclewest.com , Cisco , unknown , mx2.aps.iphmx.com
Murphy Oil , murphyoilcorp.com ,  , _Office365 , murphyoilcorp-com.mail.protection.outlook.com
Quantum , quantum.com ,  , _Office365 , quantum-com.mail.protection.outlook.com
Healthsouth , healthsouth.com ,  , own-domain , hpp2.healthsouth.com
Administaff , administaff.com ,  , _Office365 , administaff-com.mail.protection.outlook.com
Black & Decker , bdk.com , ProofPoint , unknown , mxa-00254701.gslb.pphosted.com
Golden State Bancorp , goldenstate.com , Cyren Web Security , unknown , p.webcom.ctmail.com
Longs Drug Stores , longs.com , MarkMonitor , unknown , bh.markmonitor.com
Levi Strauss , levistrauss.com ,  , _Office365 , levistrauss-com.mail.protection.outlook.com
NorthWestern , northwestern.com , ProofPoint , unknown , mxa-00194201.gslb.pphosted.com
Cooper Industries , eaton.com ,  , own-domain , mail.eaton.com
Computer Associates Intl. , ca.com , ProofPoint , unknown , mxb-001c7801.gslb.pphosted.com
Comerica , comerica.com , ProofPoint , unknown , mx0a-00143801.pphosted.com
Temple-Inland , temple-inland.com ,  ,  , mail.h-email.net
Lexmark International , lexmark.com ,  , Google , aspmx.l.google.com
SPX , spx.com , ProofPoint , unknown , mxa-0023ed01.gslb.pphosted.com
Leggett & Platt , leggett.com , ProofPoint , unknown , mxa-0003de01.gslb.pphosted.com
Nash Finch , nashfinch.com , ProofPoint , unknown , mxb-00183101.gslb.pphosted.com
Jones Apparel Group , jny.com ,  , GoDaddy , smtp.secureserver.net
Cox Communications , cox.com , ProofPoint , unknown , mxa-002b3901.gslb.pphosted.com
Mellon Financial Corp. , mellon.com , MessageLabs , unknown , cluster9bny.us.messagelabs.com
MGM Mirage , mgmresorts.com ,  , own-domain , inbound2.s4.mgmresorts.com
Pittston , brinks.com , Cisco , unknown , mx1.brinksinc.iphmx.com
Phelps Dodge , phelpsdodge.com ,  , GoDaddy , smtp.secureserver.net
Echostar Communications , dish.com ,  , own-domain , mailin.dish.com
MeadWestvaco , meadwestvaco.com ,  , _Office365 , meadwestvaco-com.mail.protection.outlook.com
Encompass Services , encompserv.com ,  , own-domain , mail.encompserv.com
LTV , ltvsteel.com ,  ,  , smx1.web-hosting.com
York International , york.com ,  , Google , york.com.s8a1.psmtp.com
United Stationers , essendant.com ,  , own-domain , mx2.essendant.com
Advanced Micro Devices , amd.com ,  , _Office365 , amd-com.mail.protection.outlook.com
Steelcase , steelcase.com ,  , Fortinet , gw141.fortimail.com
FMC , fmc.com , Forcepoint , unknown , cust33514-1.in.mailcontrol.com
Maxtor , seagate.com , ProofPoint , unknown , mxa-00003501.gslb.pphosted.com
Energy East , iberdrola.com ,  , own-domain , sol1.iberdrola.com
NTL , ntl.com ,  , own-domain , mailrelay03.ntl.com
Host Marriott , hostmarriott.com , MessageLabs , unknown , cluster9.us.messagelabs.com
SouthTrust Corp. , southtrust.com , ProofPoint , unknown , mx1-us2.ppe-hosted.com
Harrah's Entertainment , caesars.com ,  , own-domain , smtp2.caesars.com
Brunswick , brunswick.com , ProofPoint , unknown , mxa-00185c01.gslb.pphosted.com
Family Dollar Stores , familydollar.com , ProofPoint , unknown , mxb-00183e01.gslb.pphosted.com
Kerr-McGee , anadarko.com ,  , own-domain , houipmsx005.anadarko.com
Smith International , smith.com ,  , _Office365 , smith-com.mail.protection.outlook.com
Spartan Stores , spartanstores.com , ProofPoint , unknown , mxb-00183101.gslb.pphosted.com
USA Education , salliemae.com , FireEye , unknown , primary.us.email.fireeyecloud.com
Interstate Bakeries , irin.com ,  ,  , email.dstsystems.com
Roundy's , kroger.com ,  , own-domain , mail2.dmz.kroger.com
Scana , scana.com ,  , own-domain , csmtp3.scana.com
Liz Claiborne , katespade.com ,  , own-domain , mx2.katespadeandcompany.com
Core-Mark International , coremark.com , Trend Micro , unknown , in-mig04.hes.trendmicro.com
Foster Wheeler , fwc.com ,  , _Office365 , fwc-com.mail.protection.outlook.com
Borders Group , bordersgroupinc.com , MessageLabs , unknown , cluster8.us.messagelabs.com
Shopko Stores , shopko.com ,  , own-domain , mail01.shopko.com
Puget Energy , puget.com ,  , own-domain , extmx1.puget.com
Tenneco Automotive , tenneco-automotive.com ,  , _Office365 , tennecoautomotive-com01i.mail.protection.outlook.com
Western Gas Resources , westerngas.com ,  , _Office365 , westerngas-com.mail.eo.outlook.com
Bethlehem Steel , bethsteel.com ,  , Return Path , mail.b-io.co
Jefferson-Pilot , lfg.com ,  , own-domain , nc2pamta03.lfg.com
Burlington Resources , br-inc.com ,  , own-domain , smtp.br-inc.com
Allmerica Financial , allmerica.com ,  , _Office365 , allmerica-com.mail.eo.outlook.com
USG , usg.com ,  , own-domain , mail01.usg.com
Yellow , yrcw.com ,  , own-domain , osmtp01.yrcw.com
Northern Trust Corp. , northerntrust.com , ProofPoint , unknown , mxa-00185f01.gslb.pphosted.com
JDS Uniphase , jdsuniphase.com , ProofPoint , unknown , mxb-00158d01.gslb.pphosted.com
Lyondell Chemical , lyondell.com , Cisco , unknown , mx1.lyondellbasell.iphmx.com
Airborne , airborne.com ,  , Google , aspmx.l.google.com
Comdisco , comdisco.com , SpamExperts / SolarWinds , unknown , mx.spamexperts.com
NSTAR , eversource.com , ProofPoint , unknown , mxa-0018e401.gslb.pphosted.com
OGE Energy , oge.com ,  , _Office365 , oge-com.mail.protection.outlook.com
Staff Leasing , trinet.com ,  , own-domain , mx2.trinet.com
Coventry Health Care , coventryhealth.com ,  , _Office365 , coventryhealth-com.mail.protection.outlook.com
Armstrong Holdings , armstrong.com ,  , _Office365 , armstrong-com.mail.protection.outlook.com
Equity Office Properties , equityoffice.com , Mimecast , unknown , us-smtp-inbound-1.mimecast.com
Lennox International , lennox.com ,  , _Office365 , lennox-com.mail.protection.outlook.com
American Axle & Mfg. , aam.com ,  , _Office365 , aam-com.mail.protection.outlook.com
New York Times , nytimes.com ,  , Google , ASPMX.L.GOOGLE.com
Hughes Supply , hughessupply.com , Cisco , unknown , mx2.hajoca.iphmx.com
Vulcan Materials , vul.com ,  , own-domain , smtprelay01.vul.com
Universal , universalcorp.com ,  , _Office365 , universalcorp-com.mail.protection.outlook.com
Neiman Marcus , neimanmarcus.com ,  , Google , aspmx.l.google.com
